global_trial_index,phase,is_practice,stimulus_onset_monotonic,stimulus_onset_lsl,scheduled_response_window_close_monotonic,scheduled_response_window_close_lsl,response_window_close_monotonic,response_window_close_lsl,response_window_close_overshoot_seconds,scheduled_next_trial_onset_monotonic,actual_next_trial_onset_monotonic,actual_next_trial_onset_lsl,actual_next_trial_within_block,actual_trial_duration_seconds,actual_trial_duration_lsl_seconds,next_onset_schedule_drift_seconds,next_onset_schedule_drift_timebase,planned_break_after_trial,probe_after,timing_semantics_version,timing_finalization_status
3,support,0,6183.063674800001,6183.0979747,6184.663674800001,6184.6979747000005,6184.663748800001,6184.6980544,7.399999958579428e-05,6184.663674800001,6184.6637907,6184.6980907,1,1.6001158999997642,1.6001159999996162,0.00011599999961608987,lsl_flip,0,0,2,measured_from_next_stimulus_flip
4,support,0,6184.6637907,6184.6980907,6186.263790700001,6186.2980907,6186.2658753000005,6186.3001801,0.002084599999761849,6186.263790700001,6186.265918700001,6186.3002187,1,1.602128000000448,1.602128000000448,0.0021280000004479938,lsl_flip,0,0,2,measured_from_next_stimulus_flip
5,support,0,6186.265918700001,6186.3002187,6187.865918700001,6187.900218700001,6187.8639103000005,6187.8982158,0.0,6187.865918700001,6187.8639570000005,6187.898257,1,1.5980382999996436,1.5980382999996436,-0.0019617000003564478,lsl_flip,0,0,2,measured_from_next_stimulus_flip
6,support,0,6187.8639570000005,6187.898257,6189.463957000001,6189.498257,6189.463750700001,6189.4980562,0.0,6189.463957000001,6189.4637914,6189.4980913,1,1.5998343999999634,1.5998343000001114,-0.000165699999888691,lsl_flip,0,0,2,measured_from_next_stimulus_flip
7,support,0,6189.4637914,6189.4980913,6191.063791400001,6191.0980913,6191.0637249,6191.0980303,0.0,6191.063791400001,6191.0637679,6191.0980679,1,1.5999764999996842,1.5999766000004456,-2.339999955447425e-05,lsl_flip,0,0,2,measured_from_next_stimulus_flip
8,support,0,6191.0637679,6191.0980679,6192.6637679000005,6192.698067900001,6192.663943300001,6192.6982501,0.0001754000004439149,6192.6637679000005,6192.663990100001,6192.6982901,1,1.600222200000644,1.6002221999997346,0.0002221999997344959,lsl_flip,0,0,2,measured_from_next_stimulus_flip
9,support,0,6192.663990100001,6192.6982901,6194.263990100001,6194.2982901000005,6194.263780800001,6194.2980858,0.0,6194.263990100001,6194.2638229,6194.2981227,1,1.5998327999996036,1.5998325999998997,-0.0001674000001004039,lsl_flip,0,0,2,measured_from_next_stimulus_flip
10,support,0,6194.2638229,6194.2981227,6195.863822900001,6195.8981227,6195.8637931,6195.8980987,0.0,6195.863822900001,6195.863838900001,6195.8981388,1,1.6000160000003234,1.6000161000001754,1.610000017526758e-05,lsl_flip,0,0,2,measured_from_next_stimulus_flip
11,support,0,6195.863838900001,6195.8981388,6197.463838900001,6197.498138800001,6197.464163600001,6197.498469,0.00032469999950990314,6197.463838900001,6197.4642098,6197.4985099,1,1.6003708999996888,1.6003710999993928,0.0003710999993926656,lsl_flip,0,0,2,measured_from_next_stimulus_flip
12,support,0,6197.4642098,6197.4985099,6199.064209800001,6199.0985099,6199.063841200001,6199.0981461,0.0,6199.064209800001,6199.063882400001,6199.0981824,1,1.5996726000003036,1.5996725000004517,-0.00032749999954839737,lsl_flip,0,0,2,measured_from_next_stimulus_flip
